,Seller Name,Seller type,BHK,Location,Total Price,price per sqft,Area_sqft,Construction status
0,Lalitha Construction and Developers,BUILDER,3 BHK Apartment,"Ameenpur, Hyderabad", 75.21 L,"4,900 ",1535 ,Under Construction
1,Eco Green Builders,BUILDER,3 BHK Apartment,"Gundlapochampally, Hyderabad", 65.98 L,"4,200 ",1571 ,Under Construction
2,Sunder Homes,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 2.09 Cr,"5,500 ",3810 ,Under Construction
3,Nest Makers,BUILDER,3 BHK Villa,"Harshaguda, Hyderabad", 3.31 Cr,"8,275 ",4000 ,Under Construction
4,GHR Infra,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.94 L,"5,349 ",1775 ,Under Construction
5,Dinesh Projects,BUILDER,2 BHK Apartment,"Bachupally, Hyderabad", 56.49 L,"4,803 ",1177 ,Under Construction
6,Namishree Infrastructure And Project Pvt Ltd,BUILDER,3 BHK Apartment,"Saidabad, Hyderabad", 1.08 Cr,"6,000 ",1800 ,Under Construction
7,Vazhraa Nirmaan Pvt Ltd,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.19 Cr,"6,500 ",1835 ,Under Construction
8,Ira Reality,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 64.72 L,"4,998 ",1295 ,Under Construction
9,Sukhii Group,BUILDER,3 BHK Apartment,"Nanakramguda, Hyderabad", 1.44 Cr,"7,599 ",1905 ,Under Construction
10,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 86.81 L,"5,600 ",1551 ,Under Construction
11,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 1.03 Cr,"5,501 ",1885 ,Under Construction
12,G square Housing,BUILDER,Residential Plot,"BN Reddy nagar, Hyderabad", 2.52 Cr,"8,009 ",3150 ,New
13,My Home Constructions Pvt Ltd,BUILDER,2 BHK Apartment,"Tellapur, Hyderabad", 1.2 Cr,"8,856 ",1355 ,Under Construction
14,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.38 Cr,"6,899 ",2005 ,Under Construction
15,Vajra Builders And Developers,BUILDER,4 BHK Villa,"Bachupally, Hyderabad", 1.61 Cr,"7,000 ",2300 ,Ready to move
16,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.82 Cr,"8,000 ",2285 ,Ready to move
17,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.06 Cr,"5,800 ",1840 ,Under Construction
18,Theme Ambience Infrastructures,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.42 Cr,"6,800 ",2090 ,Under Construction
19,Signature Avenues,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.98 L,"4,999 ",1900 ,Under Construction
20,Srija Infra Developers Hyderabad,BUILDER,2 BHK Apartment,"Dammaiguda, Hyderabad", 50.01 L,"4,800 ",1042 ,Under Construction
21,Cyber City Oriana,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 2.2 Cr,"9,909 ",2220 ,Under Construction
22,Primark Projects Pvt Ltd,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 97.97 L,"4,699 ",2085 ,Under Construction
23,Om Sree Builders And Developers,BUILDER,3 BHK Apartment,"Sainikpuri, Hyderabad", 1.34 Cr,"6,100 ",2200 ,Under Construction
24,GSR Group,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 82.22 L,"3,499 ",2350 ,Under Construction
25,EAPL Group,BUILDER,3 BHK Apartment,"Mallapur, Hyderabad", 1.09 Cr,"4,999 ",2187 ,Under Construction
26,Lalitha Construction and Developers,BUILDER,3 BHK Apartment,"Ameenpur, Hyderabad", 71.05 L,"4,900 ",1450 ,Under Construction
27,Eco Green Builders,BUILDER,3 BHK Apartment,"Gundlapochampally, Hyderabad", 57.87 L,"4,200 ",1378 ,Under Construction
28,Sunder Homes,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 2.09 Cr,"5,500 ",3810 ,Under Construction
29,Nest Makers,BUILDER,5 BHK Villa,"Harshaguda, Hyderabad", 5.82 Cr,"9,700 ",6000 ,Under Construction
30,GHR Infra,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.94 L,"5,349 ",1775 ,Under Construction
31,Dinesh Projects,BUILDER,2 BHK Apartment,"Bachupally, Hyderabad", 56.49 L,"4,803 ",1177 ,Under Construction
32,Namishree Infrastructure And Project Pvt Ltd,BUILDER,3 BHK Apartment,"Saidabad, Hyderabad", 78.3 L,"6,000 ",1305 ,Under Construction
33,Vazhraa Nirmaan Pvt Ltd,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.19 Cr,"6,500 ",1835 ,Under Construction
34,Ira Reality,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 64.72 L,"4,998 ",1295 ,Under Construction
35,Sukhii Group,BUILDER,3 BHK Apartment,"Nanakramguda, Hyderabad", 1.44 Cr,"7,599 ",1905 ,Under Construction
36,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.03 Cr,"5,600 ",1854 ,Under Construction
37,Hallmark Builders,BUILDER,2 BHK Apartment,"Patighanpur, Hyderabad", 70.66 L,"5,499 ",1285 ,Under Construction
38,G square Housing,BUILDER,Residential Plot,"BN Reddy nagar, Hyderabad", 1.72 Cr,"8,009 ",2160 ,New
39,My Home Constructions Pvt Ltd,BUILDER,3 BHK Apartment,"Tellapur, Hyderabad", 1.5 Cr,"7,788 ",1926 ,Under Construction
